findDealer,bpFinish,vehQuote,bpStart,tradeIn,incView,quickQuote,searchInv,testDrive,paymentEst,clickCall,avgPageVis,avgSiteTime,naturalSearchVis,bookmarkedVis,paidSearchVis,bannerVis,vehHomeVis,galleryVis
800,7866,107,14352,14,5021,13,1181,6,8067,3,3.997788841,377.4344866,11736,13865,8846,29029,9630,1236
1076,7800,116,14679,34,4975,32,1409,13,8159,28,3.909443541,371.8737669,12572,16079,9200,31176,10059,1296
981,7701,112,14652,17,4603,34,1463,3,7470,30,3.95229323,373.9589552,10040,13643,11368,27494,12213,1485
769,7086,82,13443,22,3865,27,1307,0,6772,7,3.973708948,381.4093868,9452,10967,11084,28035,11015,1365
814,7570,92,14032,15,3980,27,1298,3,7324,16,4.088452052,390.3586917,10893,12097,11356,26167,10542,1463
1256,7949,115,15146,18,4444,30,1433,4,8023,28,4.430104658,385.1190834,12030,14249,12203,21389,10095,1414
1123,10575,282,19576,33,4192,35,1513,4,9416,18,4.372324408,375.4671907,11997,13424,11874,30242,10503,1412
1089,8546,156,16050,28,3926,34,1140,5,8228,14,3.969015999,375.068269,12680,24205,10260,24928,21471,1416
987,7500,111,14453,24,3834,28,1081,6,7272,20,3.956311132,364.6225946,12375,14293,10869,30213,14607,1424
1011,6904,87,13138,20,3490,32,1046,12,5938,11,4.003358342,360.0394332,12197,12589,9993,28637,12981,1284
823,8283,79,14647,21,4179,30,1424,0,6687,6,4.38164827,377.1798047,14183,12167,11550,29373,14557,1580
896,8515,116,15116,23,4154,22,1501,4,7905,4,4.360684642,384.8997307,13675,12206,11682,29293,13853,1517
1478,10027,119,18072,29,4703,21,880,3,7678,19,4.9849705,483.7313255,42185,39515,17784,27988,38772,3906
1347,15690,100,22825,27,5220,28,1182,5,8285,18,4.930835079,441.3686936,69811,50541,19448,24669,47365,5558
1269,12480,124,19338,27,4908,46,1001,17,7814,17,4.69060838,417.8491427,44689,30712,16778,23091,31522,3635
1232,12857,133,20512,19,4905,31,1146,4,8328,18,4.571571796,411.6749586,36935,26608,15661,26919,26853,3086
1263,16308,187,25528,48,7096,55,1901,9,11116,23,4.017915376,387.4375127,28715,21444,14453,75457,71633,3948
946,11231,119,18320,20,5320,34,1434,3,8145,9,4.779798381,395.4522689,24092,16837,13204,29217,22228,2487
1092,12226,156,19844,33,3980,33,1816,9,9562,4,4.617135299,404.351818,22774,16222,14486,32965,19097,2448
1364,12953,178,21787,27,6104,56,2346,10,9972,25,4.662711387,390.461106,21038,25129,13672,32267,23463,2477
1306,11927,158,20349,32,5533,47,2060,1,9130,18,4.322990209,390.1864948,19569,20543,14476,35319,21940,2084
1141,11011,139,18852,24,4464,38,1666,4,8271,12,3.937559629,392.1826198,18891,16778,13366,47219,30854,2016
1004,9850,130,17506,31,3976,42,1632,4,7725,13,4.186210867,390.4908608,18049,15254,12352,31250,16930,1782
1030,9474,129,16761,26,3846,44,1479,4,6946,10,4.170410899,385.46483,16495,13682,11665,28379,15666,1682
807,9289,101,16040,22,3267,20,1439,1,7184,15,4.238384677,387.0202979,15821,12193,11596,30260,14842,1635
791,9593,97,16489,15,2504,19,1419,3,7578,3,4.254485145,374.9945019,17330,12656,12434,32526,15988,1795
1200,9917,117,17455,33,4028,35,1638,9,8492,9,4.334097636,392.1604656,17111,14513,12138,32155,16772,1874
1053,9116,100,16395,20,4251,65,1487,21,8776,13,4.313651507,389.5658828,15886,13992,11229,29211,14317,1646
965,8577,97,15615,14,3889,48,1447,8,7820,9,4.318519105,391.3676944,15252,13222,10936,27720,13640,1586
748,8150,96,15010,16,3544,36,1220,3,7248,14,4.149148601,379.8396119,14168,12792,10508,29118,12953,1584
670,7634,98,13920,15,3468,23,1195,7,6534,12,4.13616478,381.1213287,13598,11552,10105,26896,13201,1488
691,11060,117,16778,16,5876,63,1727,11,12328,5,4.712702529,440.6320365,14117,13546,10563,28230,13037,1522
730,12981,154,19653,24,6003,58,2207,5,13206,3,4.742224061,465.358136,16213,16265,12241,29421,15392,1770
913,12357,178,19438,29,6740,80,2515,8,14575,9,4.690071633,458.0405642,16559,17895,12931,33457,15506,1798
1787,5813,210,1873,59,6267,96,2574,19,14091,32,4.727721388,457.1158653,16195,17593,13392,34359,16133,1864
5681,5738,174,1322,30,5358,77,2290,9,12618,26,4.444959229,441.2473,14890,17434,12798,36894,15205,1701
1465,7948,274,1287,42,6050,92,3319,11,14713,37,4.829086879,425.477262,14491,16637,13225,35549,14171,1805
1392,8305,273,1240,36,5695,90,3139,8,13103,20,4.777890958,415.2629822,14594,25331,14013,32764,14860,1882
894,12034,200,1162,23,4803,65,2232,15,11138,17,4.470693767,433.6012113,14058,19320,13276,34177,13880,1807
